Recipe Name,All Ingredients,Key Ingredients,Outside order,Easy to carry?,Easy to cook?,Time to cook?,Diet Pref,Allergen,Tier,Season,Category,Macro Category,Base,Theme,Heavy Light,Dish Nationality,Cuisine,Temperature,Commonality,Excite Level,Equipment,,NEW FLAVOUR,NEW ETHNICITY,TASEER,SYMPTOMS,MED CON.,Consistency,PALEO?,DEF/TOX,BLD,Servings,Quantity per serving,Base,Theme,Carbs,Protein,Fat,Fiber,Energy,cal/serving,THERAPY,MAXIMUM QUANTITY,Min Quantity,RECIPE ID,Main/Mid,Is Measured In?,Wt.of Measured Amt.,Carbs/100gm,Protein/100gm,Fat/100gm,Fiber/100gm,Energy/100gm,Must have category,Good to have Category,Must have recipe,Good to have recipe,PRIORITY
Healthy Cookie,"Roasted Oats- 1 cup
Almond flour- 2 tbsp
Pumpkin seeds
 cranberries
 Chia seeds
 raisins- 1 tbsp
Flaxseeds powder-1/2 tbsp
Cinnamon- 1/2 tsp
Bananas mashed- 3
Maple syrup- a spoon
Vanilla essence- 1 tsp
Coconut oil- 1/2 tsp","Oats - 1'cup
Almond flour - 2'tbsp
Pumpkin seeds - 1'tsp
Cranberry - 1'tsp
Chia seeds - 1'tsp
Raisins - 1'tbsp
Flaxseed powder - 0.5'tbsp
Banana - 3
Maple syrup - 1'tsp
Coconut oil - 0.5'tsp",NO,Easy,Medium,Medium,"JAIN, VEGAN","Nut, Gluten",Both,Winter,Snack,,,,Heavy,Both,General,Neutral,1,2,OTG (Oven Toaster Griller),,Sweet,Generic,Neutral Taseer,"Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Pre Dinner,10,1 Cookie,Wheat,HF,161.65,29.58,30.2,14.29,1022.97,102.30,"DASH, Normal",2,1,769512fc-34f5-46e1-ae3b-ddc6a0cc08be,MID,Numbers,43gm,37.6,6.9,7.0,3.3,237.9,,,,,Primary
Jowar Cheela,"Jowar Flour (Sorghum): 1 cup
Water: as needed
Onion: 1 small
 finely chopped
Tomato: 1 small
 finely chopped
Green Chili: 1
 finely chopped
Ginger: 1/2 inch
 grated
Coriander Leaves: 2 tbsp
 finely chopped
Cumin Seeds: 1/2 tsp
Salt: to taste
Black Pepper: 1/4 tsp
Olive Oil: for cooking","Jowar flour - 1'cup
Onion - 1
Tomato - 1
Olive oil - 1'tsp",YES,Easy,Medium,Medium,"VEGAN , VEGETARIAN","Gluten, Onion/Garlic",Metro,Winter,Chila,,,,Heavy,India,General,Neutral,1,1,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,"Central india , West india , North india",Neutral Taseer,"Loose motions/diarrhoea, Bloating, Constipation, Reduced appetite, Headache, Lack of sleep, Hairfall, Sleep disorders / insomnia, Lichen planus, Rosacea, Lupus (SLE), Skin itching","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension),  Fatty Liver, Hepatitis A/B/C, Liver cirrhosis,   Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"High Total cholesterol, Iron Deficiency, deficiency,  Magnesium deficiency, Folate deficiency, Protein Deficiency, High LDL/Low HDL, High Triglycerides, Magnesium, Phosphorus, B complex (B1,B3,B2), Folate, Potassium, Sulphur, Vitamin C ","Breakfast, Lunch",3,1-2 Chila,Jowar,HF,106.47,12.84,9.36,17.25,562.02,187.34,"Low GI, Normal",2,1,76ccfe78-3522-4eb3-ac24-574be508cf14,MAIN,Numbers,87gm,40.8,4.9,3.6,6.6,215.3,,,,"Mint Chutney, Coriander Chutney, Curd",Primary
Dahi Bhalla,"2 cups soaked moong dal
2 cups curd
2 tbsp pomegranate
1 grated apple
1 tbsp beetroot (grated)
1 tbsp ginger (grated)
1 tsp chaat masala
1 tbsp seeds mixture
1/2 tsp red chili powder","Moong dal - 2'cup
Curd - 2'cup
Pomegranate - 2'tbsp
Apple - 1
Beetroot - 1'tbsp
Seed mix - 1'tbsp",YES,Medium,Medium ,Medium (30 minutes),VEGETARIAN,"Apple/Pear/Melon, Lactose",Both,Winter,Snack,Meal,,,LIGHT,India,North Indian,Neutral,0,3,"Gas stove / Cooktop, Steamer",,"Sour/Tangy, Sweet","North india. west india, central india ",Neutral Taseer,"Constipation, lack of sleep, Anxiety, sleep disorder, acne, bloating, acidity, Anxiety, low immunity, mood swings, weakness, dizzness","Type 2 Diabetes, Gestational Diabetes (portion-controlled), Prediabetic, High Blood Pressure (Hypertension), Fatty Liver, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs), post antibiotic phase.",Solid,YES,"Calcium deficiency, Selenium Deficiency, Biotin deficiency, High Total cholesterol, Iron Deficiency, deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated","Lunch, Pre Dinner",5,2 bhallas with toppings,Lentils,"HP, HF",300.03,114.5,22.25,6.06,1855.52,371.10,"Low FODMAP, Low GI, DASH, Normal",1.5,1,76f0e29c-4713-4a90-a2e5-d94840bfc0d4,MAIN,Katori,200gm,30.0,11.5,2.2,0.6,185.6,,,,"Mint chutney, Coriander chutney",Primary
Red Bell Pepper Hummus,"Chickpea - 1/4 cup
Lemon - 1
Garlic - 1 tsp
Red Capsicum - 1 cup
Sesame Paste - 1/2 tsp
Chilli Flakes - 1/2 tsp
Cumin - 1/4 tsp
Black Pepper - 1/4 tsp
Salt - as per taste","Chickpea - 0.25'cup
Red capsicum - 1'cup
Sesame paste - 0.5'tsp",YES,Medium,Medium ,Low (5 minutes),VEGAN,"Onion/Garlic, Citrus, Spicy food",Both,Winter,Dip,spread,,,LIGHT,Both,Mediterranean,Neutral,1,3,Basic mixer grinder,,Creamy,Lebanese ,Hot Taseer," Muscle cramb,Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain ","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), , Fatty Liver, Hepatitis A/B/C, Kidney stones (OXALATE), Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Hormonal imbalances, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Breakfast, Lunch, Dinner, Pre Dinner",3,3 tbsp,White Chana,"HP, HF, WR",42.61,12.96,4.81,2.88,265.87,88.62,"Low GI, Normal",3,2,76f976e6-3fc3-4e1d-a033-38134084442f,MAIN,Tbsp,15gm,94.7,28.8,10.7,6.4,590.8,,,,"Khakhra, Sandwich, Roti",Secondary
Bhel Puri,"1 cup murmura (puffed rice)
1/2 cup tomato (chopped)
1/4 cup onion (chopped)
1/4 cup cucumber (chopped)
1 green chili (finely chopped)
1/4 teaspoon chat masala
2 teaspoons lemon juice
1/4 teaspoon black pepper
1 teaspoon coriander chutney
1 teaspoon tamarind paste (optional
 no sugar)
1 teaspoon pomegranate seeds","Puffed rice  - 1'cup
Tomato - 0.5'cup
Onion - 0.25'cup
Cucumber - 0.25'cup
Pomegranate - 1'tsp",YES,Easy,Easy,Low,"VEGAN , VEGETARIAN","Citrus, Onion/Garlic",Both,All Season,Chaat,Chaat,,,LIGHT,India,General,Neutral,0,2,No equipment required,,"Sour/Tangy, Sweet",west indian ,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Pre Dinner,1.5,1 Cup,NO BASE,All themes,20.99,2.6,0.49,3.56,98.37,65.58,"Low FODMAP, Low GI, DASH, Normal",2,1,7732a2c8-8586-48eb-a403-8d55fc7caea9,MID,Katori,150gm,9.3,1.2,0.2,1.6,43.7,,,"Mint Chutney, Coriander Chutney",,Primary
Jamun Shots,"Jamun - 250 g
Black Salt - 1/2 tsp
Lemon Juice - 1 tsp","Jamun - 250'g
",YES,Easy,Easy,Low,"JAIN, VEGAN",Citrus,Both,Summer,Morning Water,,,,LIGHT,India,General,Neutral,2,3,Basic mixer grinder,,Sour/Tangy,Generic,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension),  Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Mid Meal,6,1 shot,NO BASE,All themes,39,1.75,0.5,7.68,168,28.00,"Low FODMAP, Low GI, Normal",1,1,77a8201d-f928-4836-aeb0-21add8ea3f78,MID,glass,30ml,21.7,1.0,0.3,4.3,93.3,,,,Soaked almonds,Primary
Air Fried Vada Pav,"For Potato Filling:
Medium-sized potatoes (boiled and mashed): 3
Cooking oil: 1 tbsp
Mustard seeds: 1 tsp
Asafoetida (Hing): 2 pinches
Curry leaves: 5-6
Green chillies (chopped): 2
Garlic cloves (chopped): 4-5
Ginger (chopped): 1 inch
Turmeric powder: 1/4 tsp
Red chilli powder: 1 tsp
Salt: to taste
Lemon juice: 1 tbsp
Coriander (chopped): 2-3 tbsp
For Batter:
Gram flour (Besan): 1 cup
Carom seeds (Ajwain): 1/2 tsp
Turmeric powder: 1/2 tsp
Red chilli powder: 1/2 tsp
Asafoetida (Hing): a pinch
Salt: 1/2 tsp
Oil: 1 tbsp
Water: to make a thick batter
Eno: 1.5 tsp
For Assembly:
Whole wheat pav: 4 pieces
Green coriander chutney: as required
Mint leaves: for garnish","Potato - 3 
oil - 1'tbsp
Besan - 1'cup
Oil - 1'tbsp
Whole wheat pav - 4 ",YES,Easy,Medium,Medium,"VEGAN , VEGETARIAN","Gluten, Onion/Garlic, Citrus, Gluten, wheat, yeast",Metro,Winter,Snack,,,,Heavy,India,Maharashtrian,Neutral,1,3,Air fryer,,"Spicy, Sweet",west indian ,Hot Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","Low Blood Pressure (Hypotension), GERD (Gastroesophageal Reflux Disease), IBS (Irritable Bowel Syndrome), Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Anemia, Gout (High Uric Acid), Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Selenium Deficiency,  High Creatinine, Iron Deficiency, Vitamin D deficiency, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Vit B12 deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid   Fiber deficiency, omega 3, Vitamin E deficiency, Potassium deficiency. ","Lunch, Pre Dinner",4,1 Vada pav,"Wheat, Aloo","HF, WR",210.75,51.32,42.27,24.44,1426.87,356.72,"Low FODMAP, Normal",1,1,77e6dd54-0ad2-4da9-8a64-5348c4f87c28,MAIN,Numbers,150gm,35.1,8.6,7.0,4.1,237.8,,,,"Coriander Chutney, Mint Chutney",Primary
Aloo Pyaaz Sabzi With Gravy,"Potato - 3
Onion - 2
Oil - 2 tsp
Cumin Seeds - 1 tsp
Hing - 1/4 tsp
Ginger - 1 tsp
Tomato - 2
Coriander Powder - 1 tsp
Turmeric Powder - 1/4  tsp
Red Chilli - 1/2 tsp
Garam Masala - 1/2 tsp
Salt - as per taste
Water - 2 cup","Potato - 3
Onion - 2
Oil - 2'tsp
Tomato - 2",YES,Medium,Easy ,Medium (30 minutes),"VEGAN , VEGETARIAN",Onion/Garlic,Both,Winter,Sabzi,Sabzi,,,LIGHT,India,North Indian,Neutral,0,1,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,Generic,Hot Taseer," Acidity, bloating , Constipation, Reduced appetite, Headache, Lack of sleep, weakness, triedness , dizzness, headache, joint  pain ","Hypothyroidism, Hyperthyroidism, Hashimoto's Thyroiditis, High Blood Pressure (Hypertension), Fatty Liver (in moderation), Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs).",Semi-solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Dinner",3.5,3/4 Cup,Aloo,WR,118.34,16.22,11.3,20.43,638.21,182.35,Normal,2,1,787d4700-5cc3-4baa-ab32-0f1950ff6206,MAIN,Katori,150gm,22.5,3.1,2.2,3.9,121.6,Roti,,,,Primary
French Toast,"Bread Slices - 4
Eggs - 2
Milk - 1/2 cup
Sugar - 2 tbsp
Butter - 1 tsp
(Optional) Cinnamon Powder - 1/4 tsp
(Optional) Fresh Fruits (like banana or berries) - for garnish","Bread - 4
Egg - 2
Milk - 0.5'cup
Sugar - 2'tbsp
Butter - 1'tsp",YES,Medium,Easy,Medium,"EGG, OVOVEGETARIAN ","Gluten, Wheat, Lactose, Yeast",Both,All Season,Cereal,Porridge,,,HEAVY,Both,General,Neutral,0,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Sweet,Generic,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","High Blood Pressure (Hypertension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoporosis, Migraine, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Breakfast,2.5,1.5 slice,"Wheat, Egg","HF, HP",96.24,27.58,18.77,0,663.82,265.53,"DASH, Normal",2,1,7885ca4a-d4fa-4436-a8d5-bc82a4c917df,MAIN,Numbers,150gm,25.7,7.4,5.0,0.0,177.0,,,,,Primary
Bendakaya Fry (Bhindi Fry),"Bhindi - 250  g
Garlic clove - 2
Urad Dal - 1 - tsp
Chana Dal - 1  tsp
Curry Leaf - 8
Green Chilli - 1
Onion - 1
Mustard Seeds - 1/4 - tsp
Cumin Seeds - 1/2 tsp
Chilli Powder - 1/2 - tsp
Garam Masala - 1/2 - tsp
Coconut - 1/4  cup
Lemon Juice - 1 tbsp
Turmeric - 1/4 tsp
Salt - as per taste -
Oil - 1 - tbsp
Peanuts - 1/4 cup","Bhindi - 250'g
Coconut - 0.25'cup
Oil - 1'tbsp
Peanuts - 0.25'cup",NO,Easy,Easy,Medium,VEGAN,"Onion/Garlic, Citrus, Peanuts, Nut",Both,Winter,Sabzi,,,,Heavy,India,General,Neutral,1,2,"Gas stove / Cooktop, Basic fry pan/kadai",,Salty,South indian ,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Dinner, Lunch",3,1/2 Cup,NO BASE,All themes,29.13,15.16,45.62,15.91,587.4,195.80,"Low FODMAP, Low GI, Normal",2,1,78b0aeac-a8e9-45dc-8b93-10ce698560e5,MID,Katori,150gm,6.5,3.4,10.1,3.5,130.5,Roti,,,,Primary
Mixed Vegetable Raita,"0.3 tomato (chopped)
0.3 onion (chopped)
0.3 carrot (chopped)
0.3 cucumber (chopped)
0.3 green vegetables (like spinach or green beans
 chopped)
A little bit of salt (according to taste)
1/2 teaspoon of black pepper
1/2 teaspoon of roasted cumin
1/2 teaspoon of coriander (chopped)
1/2 cup of curd
1/2 teaspoon of chat masala","Tomato - 0.3
Onion - 0.3
Carrot - 0.3
Cucumber - 0.3
Curd - 0.5'cup",YES,Medium,Easy,Medium,VEGETARIAN,"Lactose, Onion/Garlic",Both,All Season,Raita,curd based,,,LIGHT,India,General,Neutral,0,2,No equipment required,,Salty,Generic,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, Facial hair, Lichen planus, Rosacea, Lupus (SLE), Skin itching, Stuck weight, Hormone imbalane,reduce appetite , low immunity, mood swings.","Type 2 Diabetes, Gestational Diabetes, Prediabetic, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension), Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE),  Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Semi-solid,YES,"Vitamin A defiiency, Fiber Difeciency, Selenium Deficiency, High Total cholesterol, High Creatinine, Vitamin E deficiency, Magnesium deficiency, Protein Deficiency, Iodine deficiency, , Zinc deficiency,  High LDL/Low HDL, High Triglycerides, Liver enzyme elevated",Lunch,1,1 Katori (100-120 gm),NO BASE,All themes,12.75,5.75,4.36,3.87,112.85,112.85,"Low FODMAP, Low GI, Normal",1.5,1,78e7469d-761d-4d05-aff7-940128079fcc,MID,Katori,150ml,8.5,3.8,2.9,2.6,75.2,"Pulao, Khichdi, Biryani","Chila, Thepla",,,Secondary
Grilled Fish,"100 g fish fillet
3 tbsp lemon juice
1 tbsp ginger paste
1 tsp chili flakes
1 tsp oregano
Salt (to taste)
1/2 tsp black pepper
1 tsp oil (or use oil spray)","Fish Fillet - 100'g
Oil - 1'tsp",YES,MEDIUM,Medium ,Medium (30 minutes),"FISH, NON VEGETARIAN","Fish, Seafood, Citrus",Metro,All Season,Heavy Meal,Meal,,,LIGHT,Both,General,Neutral,0,3,Tandoor / grill pan,,Umami,Generic,Neutral Taseer," Muscle cramb,Glucourea,  Headache, Lack of sleep, Trieadness, Palpitation , Frequent infection , weakness , trieadness, leethargy, joint pain , back pain, delay in periods , calcinosis cutis, Dizzness, Cold Extremities, Headache, Angular Stomatitis, Koilonychia.","Type 2 Diabetes, Gestational Diabetes (controlled portions), Low Blood Pressure (Hypotension), Prediabetic, Fatty Liver, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Vitiligo, Cardiovascular Diseases (CVDs), Throid.",Solid,YES,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Lunch, Dinner",1,1 fish fillet,Fish,HP,0,17.8,10.6,0,166.7,166.70,"Low FODMAP, Low GI, Antiinflammatory, Normal",2,1,791b9692-18ca-4f80-a52f-5eee5eebf859,MAIN,Numbers,100gm,0.0,17.8,10.6,0.0,166.7,,,,,Primary
Nutri Pulav,"1 cup basmati rice
1/4 cup carrot
 chopped
1/4 cup Nutri Soya chunks
1/4 cup beans
 chopped
1/2 cup onion
 sliced
1/2 cup tomato
 chopped
1/2 tsp cumin seeds
1 tsp Kitchen King masala
1.5 tsp olive oil
2.5 cups water
Salt
 to taste","Basmati rice - 1'cup
Soya granules - 0.25'cup
Olive oil - 1.5'tsp
Onion - 0.5
Tomato - 0.5
Beans - 0.25'cup",NO,Easy,Medium,Medium (30 minutes),"VEGAN , VEGETARIAN",Onion/Garlic,Metro,Winter,Pulao,,,,Heavy,India,General,Neutral,2,3,"Gas stove / Cooktop, Pressure cooker",,Umami,Generic,Neutral Taseer,"Bloating, Acidity, Constipation, Hairfall, stress, lack of sleep depression, anxiety, weakness, dizzness, nausea , bodyache Hormone imbalane, Ushna Virya (Hot potency), Achne , low immunity ","PCOS (Polycystic Ovarian Syndrome), PCOD, High Blood Pressure (Hypertension), Low Blood Pressure (Hypotension),  Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Osteoarthritis, Rheumatoid Arthritis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Anemia, Hormonal imbalances, Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs),type 2 Diabetes",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.",Lunch,3,,Soybean,HP,63.37,12.31,10.65,8.29,403.68,134.56,"Low FODMAP, Normal",2,1,792c5734-03ef-4829-8b4b-0b186df73171,MAIN,Katori,200gm,10.6,2.1,1.8,1.4,67.3,,,,"Aloo Gobhi Sabzi With Gravy, Aloo Sabzi With Gravy, Aloo Matar Sabzi With Gravy, White Chana Curry, Aloo Tamatar Sabzi With Gravy, Cauliflower Curry",Primary
Pathiri (Malabar Rice Flatbread),"Rice flour 
 roasted or pathiri podi - 1 cup
Water - 1-1.5 cup
Salt - to taste
Coconut Oil - 1 tsps","Rice flour - 1'cup
Coconut oil - 1'tsp",NO,Easy,Medium,Medium,"JAIN, VEGAN",Gluten,Metro,All Season,Roti,,,,Heavy,India,South Indian,Neutral,0,2,"Gas stove / Cooktop, Rolling pin & board (chakla belan), Basic fry pan/kadai",,Salty,South indian ,Cold Taseer,"Bloating, Acidity, Constipation, Hairfall, stress, lack of sleep depression, anxiety, weakness, dizzness, nausea , bodyache Hormone imbalane, Ushna Virya (Hot potency), Achne , low immunity ","High Blood Pressure (Hypertension), GERD (Gastroesophageal Reflux Disease), IBS (Irritable Bowel Syndrome), Crohn's Disease, Colitis / Ulcerative Colitis, Fatty Liver, Hepatitis A/B/C, Liver cirrhosis, Kidney stones (OXALATE), Kidney stones (URIC ACID), Osteoarthritis, Rheumatoid Arthritis, Osteoporosis, Asthma, COPD, Sinusitis / allergic rhinitis, Migraine, Eczema, Anemia, Gout (High Uric Acid), Frequent UTIs, Vitiligo, Cardiovascular Diseases (CVDs)",Solid,NO,"Potassium, High Total cholesterol, Iron Deficiency, V, Vitamin E deficiency, Magnesium deficiency, Folate deficiency, Protein Deficiency, Iodine deficiency, Vitamin C Deficiency, Zinc deficiency, Vitamin A Deficiency, High Uric acid, High LDL/Low HDL, High Triglycerides, Liver enzyme elevated, vitamin C, calcium deficiency, fiber deficiency.","Breakfast, Lunch, Dinner",3,1 pathiri,NO BASE,All themes,128.16,9.6,7.2,0.8,615.94,205.31,"Low FODMAP, Normal",2,1,798fd875-4c19-4893-8216-c3d46f2a6ad6,MAIN,Numbers,90gm,47.5,3.6,2.7,0.3,228.1,"Sabzi, High Protein Sabzi, Dal, Curry",,,,Secondary
